,Description,Type,Example,Coverage,min,max,mean,std,top,uniq,freq,entr,Failed,_max_range,uniq_ratio,Null_ratio,is_key
@r_id_disclaimer,,TEXT,ResearcherID data provided by Clarivate Analytics,1.0,49,49,,,ResearcherID data provided by Clarivate Analytics,1,1.0,-0.0,False,73,1.954422858929758e-05,0.01,False
UID,,VARCHAR(32),WOS:000203024800008,1.0,19,19,,,WOS:000203024800008,51166,1.954422858929758e-05,15.64289783185913,False,28,1.0,0.01,True
static_data__summary__EWUID__WUID__@coll_id,,VARCHAR(4),WOS,1.0,3,3,,,WOS,1,1.0,-0.0,False,4,1.954422858929758e-05,0.01,False
static_data__summary__EWUID__edition__@value,,VARCHAR(16),WOS.SSCI,0.9502990266974163,7,8,,,WOS.SCI,3,0.7510651604581167,0.7738923027037561,False,12,5.863268576789274e-05,0.01,False
static_data__summary__pub_info__@sortdate,,VARCHAR(64),1945-07-01,1.0,1945-01-01 00:00:00,1945-12-29 00:00:00,,,1945-01-01,79,0.8013524606183794,1.504380023695037,False,-,0.0015439940585545088,0.01,False
static_data__summary__pub_info__@pubyear,,YEAR,1945,1.0,1945,1945,,,1945,1,1.0,-0.0,False,2100,1.954422858929758e-05,0.01,False
static_data__summary__pub_info__@has_abstract,,VARCHAR(1),N,1.0,1,1,,,N,1,1.0,-0.0,False,1,1.954422858929758e-05,0.01,False
static_data__summary__pub_info__@coverdate,,VARCHAR(32),JUL 1945,1.0,4,12,,,1945,109,0.7821991166008677,1.7881566508698703,False,18,0.002130320916233436,0.01,False
static_data__summary__pub_info__@pubmonth,,VARCHAR(16),JUL,0.21780088339913223,3,7,,,APR,109,0.7821991166008677,1.510951394357085,False,10,0.002130320916233436,0.01,False
static_data__summary__pub_info__@vol,,VARCHAR(8),8,0.9832701403275613,1,5,,,53,150,0.07360356486729469,6.314040422478102,False,7,0.002931634288394637,0.01,False
static_data__summary__pub_info__@issue,,VARCHAR(16),3,0.9599929640777078,1,6,,,1,448,0.12119376148223429,5.416262164022016,False,9,0.008755814408005316,0.01,False
static_data__summary__pub_info__@pubtype,,VARCHAR(16),Journal,1.0,7,7,,,Journal,1,1.0,-0.0,False,10,1.954422858929758e-05,0.01,False
static_data__summary__pub_info__page__@begin,,VARCHAR(8),212,0.9996091154282141,1,4,,,1,2405,0.010612516123988586,9.995058433366012,False,6,0.04700386975726068,0.01,False
static_data__summary__pub_info__page__@end,,VARCHAR(8),213,0.9996091154282141,1,4,,,&,2322,0.009048977836844779,9.999187417941194,False,6,0.04538169878434898,0.01,False
static_data__summary__pub_info__page__@page_count,,SMALLINT UNSIGNED,2,1.0,0,462,,,1,124,0.2671891490442872,3.6819478729533186,False,65534,0.0024234843450729,0.01,False
static_data__summary__pub_info__page__#text,,VARCHAR(16),212-213,0.9996091154282141,3,9,,,411-411,15594,0.0010944768010006645,13.095958581182083,False,13,0.30477270062150646,0.01,False
static_data__summary__titles__@count,,TINYINT UNSIGNED,6,1.0,5,6,,,6,2,0.7989094320447172,0.7241038760462883,False,254,3.908845717859516e-05,0.01,False
static_data__summary__names__@count,,TINYINT UNSIGNED,1,1.0,1,31,,,1,24,0.7032208888715162,1.3077916995775256,False,254,0.0004690614861431419,0.01,False
static_data__summary__names__name__@seq_no,,TINYINT UNSIGNED,1,0.7032208888715162,1,1,,,1,2,0.7032208888715162,0.3572011694444015,False,254,3.908845717859516e-05,0.01,False
static_data__summary__names__name__@role,,VARCHAR(16),author,0.7032208888715162,4,6,,,author,4,0.5978774967752023,0.7877589237901674,False,9,7.817691435719032e-05,0.01,False
static_data__summary__names__name__@r_id,,VARCHAR(32),ELG-3487-2022,0.5974084352890592,11,13,,,DHW-2226-2022,21423,0.4025915647109409,8.886717121371488,False,19,0.41869600906852206,0.01,False
static_data__summary__names__name__@claim_status,,VARCHAR(8),false,0.5974084352890592,4,5,,,false,3,0.5933041472853067,0.47939218584846455,False,7,5.863268576789274e-05,0.01,False
static_data__summary__names__name__display_name,,VARCHAR(64),"Alldredge, Everett O.",0.7032208888715162,2,40,,,[Anonymous],21569,0.29677911112848376,9.245936052116075,False,60,0.42154946644255953,0.01,False
static_data__summary__names__name__full_name,,VARCHAR(64),"Alldredge, Everett O.",0.7032208888715162,2,40,,,[Anonymous],21569,0.29677911112848376,9.245936052116075,False,60,0.42154946644255953,0.01,False
static_data__summary__names__name__wos_standard,,VARCHAR(64),"Alldredge, EO",0.7032208888715162,2,40,,,[Anonymous],21415,0.29677911112848376,9.237038269400763,False,60,0.4185396552398077,0.01,False
